"Station","Place"
"10001 1",1
"10001 3",2
"10001 4",2
"10001 5",2
"10001 6",2
"10001 7",3
"10001 8",3
"10001 9",3
"10001 10",3
"10001 11",3
"10001 12",3
"10001 13",4
"10001 14",4
"10001 15",4
"10001 16",5
"10001 17",5
"10001 18",5
"10001 19",5
"10001 20",3
"10001 21",6
"10001 22",7
"10001 23",7
"10001 24",7
"10001 25",7
"10001 26",8
"10001 27",8
"10001 28",8
"10001 29",4
"10001 30",4
"10001 31",4
"10001 32",9
"10001 33",9
"10001 34A",9
"10001 34B",10
"10001 35",9
"10001 36",11
"10001 37",9
"10001 38",12
"10001 39",12
"10001 40",12
"10001 41",12
"10001 42",13
"10001 43",13
"10001 44",14
"10001 45",14
"10001 46",15
"10001 47A",15
"10001 47B",15
"10001 48",15
"10001 49",15
"10001 50",16
"10001 51",17
"10001 52",17
"10001 53A",17
"10001 53B",17
"10001 54A",15
"10001 54B",15
"10001 55",17
"10001 56",18
"10001 57",16
"10001 58",16
"10001 59",17
"10001 60",18
"10001 61",18
"10001 62A",18
"10001 62B",18
"10001 63",18
"10001 64",18
"10001 65",16
"10001 66",18
"10001 67",18
"10001 68",19
"10001 69",19
"10001 70",20
"10001 71A",20
"10001 71B",20
"10001 72",20
"10001 73",18
"10001 74A",20
"10001 74B",20
"10001 75",21
"10001 76",21
"10001 77",21
"10001 78",21
"10001 79",21
"10001 80",19
"10001 81A",22
"10001 81B",22
"10001 82A",22
"10001 82B",23
"10001 83",22
"10001 84",22
"10001 85A",22
"10001 85B",22
"10001 86A",22
"10001 86B",22
"10001 87A",22
"10001 87B",22
"10001 88",24
"10001 89",24
"10001 90",24
"10001 91",24
"10001 92",24
"10001 93",24
"10001 94",24
"10001 95A",24
"10001 95B",24
"10001 96",24
"10001 97A",21
"10001 97B",21
"10001 98",24
"10001 99",21
"10001 100",21
"10001 101",21
"10001 102",19
"10001 103",20
"10001 104",20
"10001 105A",20
"10001 105B",20
"10001 106",25
"10001 107",25
"10001 108A",26
"10001 108B",26
"10001 109",27
"10001 110",12
"10001 111A",12
"10001 111B",12
"10001 112",28
"10001 113",28
"10001 114",28
"10001 115",28
"10001 116",29
"10001 117",30
"10001 118",30
"10001 119",30
"10001 120",31
"10001 121",32
"10001 122",32
"10001 123",33
"10001 124A",34
"10001 124B",34
"10001 125",35
"10001 126",36
"10001 127",36
"10001 128",37
"10001 129",37
"10001 130",37
"10001 131",37
"10001 132",38
"10001 133",38
"10001 134",39
"10001 135",40
"10001 136",40
"10001 137",41
"10001 138",42
"10001 139",43
"10001 140",44
"10001 141",45
"10001 142",45
"10001 143",46
"10001 144",46
"10001 145",46
"10001 146",47
"10001 147",33
"10001 148",48
"10001 149",49
"10001 150",49
"10001 151",49
"10001 152",50
"10001 153",51
"10001 154",52
"10001 155",53
"10001 156",54
"10001 157",55
"10001 158",56
"10001 159",56
"10001 160",55
"10001 161A",56
"10001 161B",57
"10001 162",56
"10001 163",58
"10001 164",58
"10001 165",59
"10001 166",60
"10001 167",61
"10001 168",62
"10001 169",63
"10001 170",64
"10001 171",65
"10001 172",66
"10001 173",67
"10001 174",68
"10001 175",68
"10001 176",69
"10001 177",70
"10001 178",71
"10001 179",72
"10001 180",7
"10002 1",73
"10002 2",74
"10002 3",75
"10002 4",76
"10002 5",77
"10002 6",77
"10002 7",77
"10002 8",78
"10002 9",78
"10002 10",78
"10002 11",79
"10002 13A",80
"10002 13B",80
"10002 14A",81
"10002 14B",82
"10002 15",83
"10002 16",84
"10002 17",85
"10002 18",85
"10002 19",85
"10002 20",86
"10002 21",87
"10002 22",87
"10002 23",88
"10002 24",89
"10002 25",90
"10002 26",91
"10002 27",92
"10002 28",93
"10002 29",94
"10002 30",94
