ED_CODE,ED_NAMEE,Direct Match,MATCHED
48029,Red Deer--Mountain View,#N/A,0
48030,Red Deer--Lacombe,#N/A,0
48031,St. Albert--Edmonton,#N/A,0
48032,Sherwood Park--Fort Saskatchewan,#N/A,0
48033,Sturgeon River--Parkland,#N/A,0
48034,Yellowhead,48028,1
59001,Abbotsford,59001,1
59002,Burnaby North--Seymour,#N/A,0
59003,Burnaby South,#N/A,0
59004,Cariboo--Prince George,59004,1
59005,Central Okanagan--Similkameen--Nicola,#N/A,0
59006,Chilliwack--Hope,#N/A,0
59007,Cloverdale--Langley City,#N/A,0
59008,Coquitlam--Port Coquitlam,#N/A,0
59009,Courtenay--Alberni,#N/A,0
59010,Cowichan--Malahat--Langford,#N/A,0
59011,Delta,#N/A,0
59012,Fleetwood--Port Kells,59009,1
59013,Kamloops--Thompson--Cariboo,59010,1
59014,Kelowna--Lake Country,59011,1
59015,Kootenay--Columbia,59012,1
59016,Langley--Aldergrove,#N/A,0
59017,Mission--Matsqui--Fraser Canyon,#N/A,0
59018,Nanaimo--Ladysmith,#N/A,0
59019,New Westminster--Burnaby,#N/A,0
59020,North Okanagan--Shuswap,#N/A,0
59021,North Vancouver,59019,1
59022,Pitt Meadows--Maple Ridge,#N/A,0
59023,Port Moody--Coquitlam,#N/A,0
59024,Prince George--Peace River--Northern Rockies,#N/A,0
59025,Richmond Centre,#N/A,0
59026,Esquimalt--Saanich--Sooke,#N/A,0
59027,Saanich--Gulf Islands,59024,1
59028,Skeena--Bulkley Valley,59025,1
59029,South Okanagan--West Kootenay,#N/A,0
59030,South Surrey--White Rock,#N/A,0
59031,Steveston--Richmond East,#N/A,0
59032,Surrey Centre,#N/A,0
59033,Surrey--Newton,#N/A,0
59034,Vancouver Centre,59029,1
59035,Vancouver East,59030,1
59036,Vancouver Granville,#N/A,0
59037,North Island--Powell River,#N/A,0
59038,Vancouver Kingsway,59032,1
59039,Vancouver Quadra,59033,1
59040,Vancouver South,59034,1
59041,Victoria,59035,1
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,#N/A,0
60001,Yukon,60001,1
61001,Northwest Territories,61001,1
62001,Nunavut,62001,1
