"Riding","Place","Eligible","TurnoutAbs","TurnoutRel","LIB","CON","NDP","GREEN","BLOC","LIB_CAND","CON_CAND","NDP_CAND","GREEN_CAND","BLOC_CAND"
"47003",12882,514,305,0.593385214007782,122,10,172,1,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12883,458,199,0.434497816593886,19,154,21,5,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12884,63,39,0.619047619047619,0,33,5,1,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12885,572,351,0.613636363636364,118,3,229,1,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12886,120,73,0.608333333333333,3,65,5,0,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12887,248,177,0.713709677419355,22,141,11,3,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12888,701,400,0.570613409415121,136,92,169,3,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12889,154,83,0.538961038961039,12,56,12,3,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12890,466,391,0.839055793991416,273,19,98,1,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12891,86,57,0.662790697674419,5,33,17,2,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12892,258,196,0.75968992248062,160,0,36,0,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12893,1160,588,0.506896551724138,75,444,56,13,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12894,637,630,0.989010989010989,490,7,133,0,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12895,994,395,0.39738430583501,55,290,36,14,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12896,175,61,0.348571428571429,10,39,10,2,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12897,912,394,0.432017543859649,56,247,74,17,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12898,378,363,0.96031746031746,282,13,65,3,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12899,833,469,0.563025210084034,50,334,69,16,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12900,239,170,0.711297071129707,11,123,31,5,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12901,314,230,0.732484076433121,157,6,67,0,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12902,1223,565,0.461978740801308,106,309,131,19,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12903,762,399,0.523622047244094,239,3,156,1,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12904,353,280,0.793201133144476,174,3,99,4,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12905,914,682,0.74617067833698,383,11,288,0,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12906,377,197,0.522546419098143,181,3,13,0,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47003",12907,478,195,0.407949790794979,183,5,7,0,0,"Joseph, Lawrence","Clarke, Rob","Jolibois, Georgina","Koch, Warren","NA"
"47004",12908,332,199,0.599397590361446,17,147,32,3,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12909,237,197,0.831223628691983,59,55,75,8,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12910,709,304,0.428772919605078,52,184,61,7,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12911,222,144,0.648648648648649,16,106,17,5,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12912,267,119,0.445692883895131,32,63,23,1,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12913,964,449,0.465767634854772,106,170,163,10,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12914,419,275,0.656324582338902,34,188,48,5,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12915,637,300,0.470957613814757,47,180,61,12,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12916,250,124,0.496,18,78,25,3,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12917,278,133,0.47841726618705,22,82,24,5,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
"47004",12918,298,151,0.506711409395973,18,90,35,8,0,"Slusar, Alexander","Block, Kelly","Wright, Glenn","Oliphant, Lynn Wesley","NA"
